Unique_ID,PID,TIER,Tier_old,NIRSpec_ID,NIRCam_DR5_ID,NIRCam_DR3_ID,ObsDate,RA_TARG,Dec_TARG,x_offset,y_offset,Field,GSa,GSb,PC_eMPT,Priority,oddball_source,PC_eMPT_pre_oddball,priority_pre_oddball,probability_allocated,F444W_gold_DR3,UV_gold_DR3,F444W_gold_DR5_beta,UV_gold_DR5_beta,assigned_Prism,assigned_G140M,assigned_G235M,assigned_G395M,assigned_G395H,nDither_Pr,nDither_Gr,nInt_Prism,nInt_G140M,nInt_G235M,nInt_G395M,nInt_G395H,tExp_PRISM,tExp_G140M,tExp_G235M,tExp_G395M,tExp_G395H,z_phot,z_Spec,z_paper,z_paper_name,z_paper_ref,z_R1000,z_R1000n,z_PRISM,z_Spec_flag,1500A_flux,1500A_flux_err,MUV,MUV_err_u,MUV_err_l,Hbeta,[OIII]5007,Halpha_NII,[OII]3727,fits_map,RA_TRUE,DEC_TRUE,X,Y,Z_coord
b'goods-n-mediumhst_755',1181,b'goods-n-mediumhst',b'medium_hst_gn',755,1004392,1004392,b'2023-02-07',189.09925933788136,62.23824910408436,0.051,-0.139,b'GN',False,False,9,b'5.2',,-99,,0.35064935064935066,0,0,0,0,b'T',b'T',b'T',b'T',b'T',2,2,12,6,6,6,0,12254.0,6127.0,6127.0,6127.0,0.0,3.54,3.4771791784875727,,,,3.4771791784875727,3.0,3.475048,b'A',3.7304808466623194e-19,4.190386259066098e-20,-19.675794532892834,0.11558248103243329,0.1293690820497133,,245.62764123408957,206.65902800239203,,b'https://jades.idies.jhu.edu/goods-n/?ra=189.09926&dec=62.23825&zoom=10',189.09927350454802,62.23821049297325,-3188.635563959832,-510.69520011604465,6134.775298307455
b'goods-n-mediumhst_853',1181,b'goods-n-mediumhst',b'medium_hst_gn',853,1008013,1008013,b'2023-02-07',189.11636954392034,62.249101775923364,-0.018,0.026,b'GN',False,False,11,b'4.3',,-99,,0.27007299270072993,0,0,0,0,b'T',b'T',b'T',b'T',b'T',1,1,6,3,3,3,0,6127.0,3063.0,3063.0,3063.0,0.0,3.49,3.471392816421119,,,,3.471392816421119,9.0,3.476296,b'A',1.8258896993590476e-19,2.4580922641976634e-20,-18.900998205735313,0.137130255676972,0.1569883315039,487.56365749178315,2156.803232059725,1935.7373626171166,518.4995272542386,b'https://jades.idies.jhu.edu/goods-n/?ra=189.11637&dec=62.2491&zoom=10',189.11636454392035,62.24910899814559,-3185.1261377276137,-511.1076519726052,6131.145541991644
b'goods-n-mediumhst_873',1181,b'goods-n-mediumhst',b'medium_hst_gn',873,1008592,1008592,b'2023-02-07',189.1168361021397,62.25074486540323,0.081,-0.078,b'GN',False,False,10,b'6.2',,-99,,0.4166666666666667,0,0,0,0,b'T',b'T',b'T',b'T',b'T',1,1,6,3,3,3,0,6127.0,3063.0,3063.0,3063.0,0.0,3.54,3.470971018897471,,,,3.470971018897471,1.0,3.467254,b'A',5.204616320783675e-20,4.6162300931221646e-20,-17.531542328086758,0.6894004999883876,2.366815551515195,,430.22432702118243,242.65175797172955,,b'https://jades.idies.jhu.edu/goods-n/?ra=189.11684&dec=62.25074&zoom=10',189.1168586021397,62.25072319873656,-3184.7903110584107,-511.0819323198442,6130.926743751378
b'goods-n-mediumhst_2859',1181,b'goods-n-mediumhst',b'medium_hst_gn',2859,1087787,1087787,b'2023-02-07',189.106517388872,62.252056637421546,0.016,0.202,b'GN',False,False,12,b'5.3',,-99,,0.23049645390070922,0,0,0,0,b'T',b'F',b'F',b'F',b'F',1,0,6,0,0,0,0,6127.0,0.0,0.0,0.0,0.0,3.32,3.470546,,,,,,3.470546,b'B',1.6603285847389964e-19,2.1455179647871335e-20,-18.79351214546906,0.131948799285329,0.15023199246729746,,358.9354176986918,234.2004278423145,,b'https://jades.idies.jhu.edu/goods-n/?ra=189.10652&dec=62.25206&zoom=10',189.10652183331644,62.25211274853266,-3184.5735334930528,-510.45783522151726,6130.692877334651
b'goods-n-mediumhst_2887',1181,b'goods-n-mediumhst',b'medium_hst_gn',2887,1088547,1088547,b'2023-02-07',189.11821922713818,62.26037047807183,0.013,-0.115,b'GN',False,False,9,b'5.2',,-99,,0.35064935064935066,0,0,0,0,b'T',b'T',b'T',b'T',b'T',2,2,12,6,6,6,0,12254.0,6127.0,6127.0,6127.0,0.0,3.54,3.437660905019742,,,,3.437660905019742,3.0,3.444315,b'A',1.0622648602551116e-19,4.140384388360569e-20,-18.288967309018453,0.3573569375679675,0.536265216346429,,204.28325299003748,164.08060814431104,140.56538093357685,b'https://jades.idies.jhu.edu/goods-n/?ra=189.11822&dec=62.26037&zoom=10',189.1182228382493,62.26033853362738,-3170.9918075467317,-508.9450530378276,6106.8740063831665
b'goods-s-mediumjwst_3049',1286,b'goods-s-mediumjwst',b'medium_jwst_gs',3049,3049,3049,b'2023-12-11',53.0706102,-27.9081911,0.067,0.176,b'GS',False,True,19,b'8',,-99,,0.04401122433909319,0,0,0,0,b'T',b'T',b'T',b'T',b'T',3,3,9,4,9,9,9,8534.0,8534.0,8534.0,8534.0,8534.0,3.29693,3.469331710383819,,,,3.469331710383819,4.0,3.463106,b'A',1.415004120415239e-19,6.576359990513671e-20,-18.614366058156374,0.41441548975583586,0.6786267084240087,117.6793766926019,739.4586331200951,360.9857797820862,,b'https://jades.idies.jhu.edu/public/?ra=53.07061&dec=-27.90819&zoom=10',53.070628811111106,-27.908142211111112,3677.5352148933853,4892.791284750393,-3241.8879906911043
b'goods-s-deephst_3184',1210,b'goods-s-deephst',b'deep_hst_gs',3184,196893,196893,b'2022-10-24',53.1500995952512,-27.819706046244335,-0.037,-0.211,b'GS',False,False,14,b'7.7',,-99,,0.08333333333333333,1,0,1,0,b'T',b'T',b'T',b'T',b'T',3,3,72,36,18,18,18,99788.0,24947.0,24947.0,24947.0,24947.0,3.4536,3.4664554027540095,,,,3.4664554027540095,6.0,3.463746,b'A',1.913939258363126e-19,1.634764534601554e-20,-18.942770534397468,0.08898815310109853,0.09693815924519811,100.52105086012614,576.144184219002,307.4753052048672,94.20564791659936,b'https://jades.idies.jhu.edu/public/?ra=53.1501&dec=-27.81971&zoom=10',53.15008931747342,-27.819764657355446,3672.4736840075793,4900.191844598794,-3231.3281868094905
b'goods-n-mediumhst_3527',1181,b'goods-n-mediumhst',b'medium_hst_gn',3527,1009863,1009863,b'2023-02-07',189.15055717264227,62.2553279898082,0.022,-0.082,b'GN',False,False,9,b'5.2',,-99,,0.35064935064935066,0,0,0,0,b'T',b'T',b'T',b'T',b'T',1,1,0,3,3,3,0,0.0,3063.0,3063.0,3063.0,0.0,3.502,3.4190438090929565,,,,3.4190438090929565,4.0,,b'A',,,,,,,,,,b'https://jades.idies.jhu.edu/goods-n/?ra=189.15056&dec=62.25533&zoom=10',189.15056328375337,62.25530521203042,-3164.0344211746005,-509.66049351272693,6092.728838260482
b'goods-n-mediumhst_3998',1181,b'goods-n-mediumhst',b'medium_hst_gn',3998,1027205,1027205,b'2023-02-07',189.1581278540539,62.24517275138643,0.04,-0.216,b'GN',False,False,9,b'5.2',,-99,,0.35064935064935066,0,0,0,0,b'T',b'T',b'T',b'T',b'T',1,1,6,3,3,3,0,6127.0,3063.0,3063.0,3063.0,0.0,3.54,3.4771921996186492,,,,3.4771921996186492,2.0,3.477287,b'A',1.1434239251299428e-19,4.384729808875882e-20,-18.393567778025073,0.3524272535736017,0.5251209465350044,,223.3267633870007,188.65833833837112,,b'https://jades.idies.jhu.edu/goods-n/?ra=189.15813&dec=62.24517&zoom=10',189.15813896516502,62.24511275138643,-3187.384510297688,-513.8540917545627,6135.173815800432
b'goods-s-mediumhst_5052',1180,b'goods-s-mediumhst',b'medium_hst_gs',5052,209466,209466,b'2022-10-05',53.1588231,-27.7751884,-0.018,0.006,b'GS',False,False,17,b'7',,-99,,0.021689497716894976,0,0,0,0,b'T',b'T',b'T',b'T',b'T',1,1,3,1,3,3,0,3720.0,2042.0,2042.0,2042.0,0.0,3.43616,3.432904358293343,,,,3.432904358293343,1.0,3.432166,b'A',-1.2744402401202324e-20,8.021529220213473e-20,,,,,130.22367727497613,74.84584173407278,,b'https://jades.idies.jhu.edu/public/?ra=53.15882&dec=-27.77519&zoom=10',53.1588181,-27.775186733333335,3658.362461084462,4882.913115014047,-3213.500177768742
