name,id,ra,dec,z_spec_or_phot,x_Mpc,y_Mpc,z_Mpc,note,survey
UNCOVER-130,130,3.656283914560848,-30.46683119171836,12.1903,8645.699830095198,552.4684887824658,-5096.340307408194,filament candidate,UNCOVER
UNCOVER-141,141,3.656499249035925,-30.46678735633141,10.1276,8312.474924323275,531.2064668845964,-4899.908377109863,filament candidate,UNCOVER
UNCOVER-251,251,3.64651978831468,-30.46642406295249,12.2727,8657.499612821877,551.7411200789312,-5103.157397072885,filament candidate,UNCOVER
UNCOVER-293,293,3.638052205426873,-30.46629056819477,12.8896,8741.661928378984,555.807630909528,-5152.690872945835,filament candidate,UNCOVER
UNCOVER-382,382,3.636725236497605,-30.465825810582725,14.8769,8978.369992357791,570.6490961354499,-5292.110208490538,filament candidate,UNCOVER
UNCOVER-428,428,3.644484391471303,-30.465631996607392,12.786,8727.938746256339,555.9188820675154,-5144.503316575395,filament candidate,UNCOVER
UNCOVER-615,615,3.6424390135495286,-30.465075334950136,14.3627,8921.58057695619,567.9329601437535,-5258.512635994585,filament candidate,UNCOVER
UNCOVER-645,645,3.6421342303341255,-30.46496214122845,14.8556,8976.096291019237,571.3553981443272,-5290.619302036746,filament candidate,UNCOVER
UNCOVER-800,800,3.600770763552327,-30.464430695906167,14.2801,8912.659369701152,560.8573695899264,-5252.877302511512,filament candidate,UNCOVER
UNCOVER-903,903,3.619755394510616,-30.46408076353085,12.2809,8659.123676288857,547.7834049479253,-5103.4856781835215,filament candidate,UNCOVER
UNCOVER-911,911,3.618332383028649,-30.46405378056084,12.9276,8747.056066963833,553.127968516507,-5155.29732596072,filament candidate,UNCOVER
UNCOVER-996,996,3.5947122147571764,-30.463705418322625,14.43,8929.779162178887,560.9867046162536,-5262.779802394021,filament candidate,UNCOVER
UNCOVER-1034,1034,3.594441104397024,-30.46356647265833,14.1956,8903.122119224212,559.269761751051,-5247.038753767364,filament candidate,UNCOVER
UNCOVER-1109,1109,3.6421719317452816,-30.46332056791656,13.0537,8763.321105119232,557.817410386194,-5164.868631566646,filament candidate,UNCOVER
UNCOVER-1252,1252,3.652281140163208,-30.46269287902287,13.4674,8815.664042515236,562.7109761308202,-5195.646349409468,filament candidate,UNCOVER
UNCOVER-1284,1284,3.652455186042455,-30.462533942849287,13.7938,8855.458366352508,565.2780896512834,-5219.067624529524,filament candidate,UNCOVER
UNCOVER-1356,1356,3.591470318704483,-30.46225007156197,12.7622,8725.584477365768,547.6631277857566,-5142.120166869947,filament candidate,UNCOVER
UNCOVER-1485,1485,3.605935143661958,-30.461651134217,13.0459,8762.810271338947,552.2206115836019,-5164.016356422744,filament candidate,UNCOVER
UNCOVER-1551,1551,3.592387050879552,-30.46143453572427,14.0363,8884.852766357146,557.8023528967708,-5235.814113564792,filament candidate,UNCOVER
UNCOVER-1767,1767,3.611942253308012,-30.460745553613297,11.8099,8591.319434481451,542.3178179530256,-5062.805358081368,filament candidate,UNCOVER
UNCOVER-1854,1854,3.5896204214910923,-30.46038011791898,14.8204,8973.237225844465,562.9162463115998,-5287.660065851262,filament candidate,UNCOVER
UNCOVER-1885,1885,3.592744700843943,-30.460256877144307,13.416,8810.087750605193,553.1637209920907,-5191.513176241132,filament candidate,UNCOVER
