name,id,ra,dec,z_spec_or_phot,x_mpc,y_mpc,z_mpc,note,survey,z_num,id_msa,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_dr3,sep_dr3,X,Y,Z_coord
UNCOVER-29,29.0,3.634496596291794,-30.467230432379083,17.999831420277474,9272.078925012578,588.954596097287,-5465.5238002790975,filament candidate,UNCOVER,17.999831420277474,,,,,,,,,,,,,,,,,,,,9272.078925012578,588.954596097287,-5465.5238002790975
UNCOVER-43,43.0,3.634200132719845,-30.467143587031824,17.65478282843197,9243.300118857604,587.0785704771342,-5448.539144678011,filament candidate,UNCOVER,17.65478282843197,,,,,,,,,,,,,,,,,,,,9243.300118857604,587.0785704771342,-5448.539144678011
UNCOVER-130,130.0,3.656283914560848,-30.46683119171836,12.190307933171724,8645.699830095198,552.4684887824658,-5096.340307408194,filament candidate,UNCOVER,12.190307933171724,,,,,,,,,,,,,,,,,,,,8645.699830095198,552.4684887824658,-5096.340307408194
UNCOVER-141,141.0,3.656499249035925,-30.46678735633141,10.127618713691284,8312.474924323275,531.2064668845964,-4899.908377109863,filament candidate,UNCOVER,10.127618713691284,,,,,,,,,,,,,,,,,,,,8312.474924323275,531.2064668845964,-4899.908377109863
UNCOVER-171,171.0,3.6385202743512015,-30.46671245076889,18.216930586054776,9289.801839315149,590.7353653236057,-5475.881921423954,filament candidate,UNCOVER,18.216930586054776,,,,,,,,,,,,,,,,,,,,9289.801839315149,590.7353653236057,-5475.881921423954
UNCOVER-187,187.0,3.638419618174829,-30.46662616263276,17.56071019437231,9235.317610775071,587.254441568449,-5443.746777153588,filament candidate,UNCOVER,17.56071019437231,,,,,,,,,,,,,,,,,,,,9235.317610775073,587.254441568449,-5443.746777153588
UNCOVER-251,251.0,3.64651978831468,-30.46642406295249,12.272677338690304,8657.499612821877,551.7411200789312,-5103.157397072885,filament candidate,UNCOVER,12.272677338690304,,,,,,,,,,,,,,,,,,,,8657.499612821877,551.7411200789313,-5103.157397072885
UNCOVER-293,293.0,3.638052205426873,-30.46629056819477,12.88955241974981,8741.661928378984,555.807630909528,-5152.690872945835,filament candidate,UNCOVER,12.88955241974981,,,,,,,,,,,,,,,,,,,,8741.661928378984,555.807630909528,-5152.690872945835
UNCOVER-356,356.0,3.636782074893857,-30.465935004772582,15.45472354541399,9038.982615786152,574.5105288353764,-5327.86060686939,filament candidate,UNCOVER,15.45472354541399,,,,,,,,,,,,,,,,,,,,9038.982615786153,574.5105288353765,-5327.860606869388
UNCOVER-377,377.0,3.6349687086393687,-30.465843207949888,16.822579535917342,9170.564723542582,582.5823696358439,-5405.38855163788,filament candidate,UNCOVER,16.822579535917342,,,,,,,,,,,,,,,,,,,,9170.564723542582,582.5823696358439,-5405.38855163788
UNCOVER-382,382.0,3.636725236497605,-30.465825810582725,14.876877299989014,8978.369992357791,570.6490961354499,-5292.110208490538,filament candidate,UNCOVER,14.876877299989014,,,,,,,,,,,,,,,,,,,,8978.369992357791,570.6490961354499,-5292.110208490538
UNCOVER-395,395.0,3.644037162416256,-30.465770041053027,16.335041040198245,9125.381482360111,581.1621521605156,-5378.794712389736,filament candidate,UNCOVER,16.335041040198245,,,,,,,,,,,,,,,,,,,,9125.381482360113,581.1621521605156,-5378.794712389736
UNCOVER-401,401.0,3.636908298775818,-30.465750663983076,17.37145462975748,9219.159221481832,585.9828023140445,-5434.023119735093,filament candidate,UNCOVER,17.37145462975748,,,,,,,,,,,,,,,,,,,,9219.159221481832,585.9828023140445,-5434.023119735093
UNCOVER-410,410.0,3.6436029449347664,-30.46569750237368,16.45876521227894,9137.016174150023,581.8335971792346,-5385.634374339646,filament candidate,UNCOVER,16.45876521227894,,,,,,,,,,,,,,,,,,,,9137.016174150025,581.8335971792346,-5385.634374339646
UNCOVER-424,424.0,3.645196550809652,-30.465670721248348,16.59824678151162,9149.958896677575,582.9132996817297,-5393.266993320481,filament candidate,UNCOVER,16.59824678151162,,,,,,,,,,,,,,,,,,,,9149.958896677575,582.9132996817297,-5393.266993320481
UNCOVER-425,425.0,3.6441534417874033,-30.46565314374022,17.94300083596693,9267.442074469944,590.2283555690329,-5462.5050198043655,filament candidate,UNCOVER,17.94300083596693,,,,,,,,,,,,,,,,,,,,9267.442074469944,590.2283555690329,-5462.5050198043655
UNCOVER-428,428.0,3.644484391471303,-30.465631996607392,12.78597946386142,8727.938746256339,555.9188820675154,-5144.503316575395,filament candidate,UNCOVER,12.78597946386142,,,,,,,,,,,,,,,,,,,,8727.938746256339,555.9188820675154,-5144.503316575395
UNCOVER-443,443.0,3.643719428320973,-30.465596464939424,18.153423413834517,9284.70373199548,591.2571060006662,-5472.664524381356,filament candidate,UNCOVER,18.153423413834517,,,,,,,,,,,,,,,,,,,,9284.70373199548,591.2571060006663,-5472.6645243813555
UNCOVER-447,447.0,3.644300613943904,-30.46556973359209,17.061231482586823,9191.901589135196,585.4410110192371,-5417.962057131994,filament candidate,UNCOVER,17.061231482586823,,,,,,,,,,,,,,,,,,,,9191.901589135197,585.4410110192371,-5417.962057131994
UNCOVER-453,453.0,3.642814838218361,-30.46554942561359,16.285108815666455,9120.688216019847,580.6678893254661,-5375.973680026755,filament candidate,UNCOVER,16.285108815666455,,,,,,,,,,,,,,,,,,,,9120.688216019847,580.6678893254661,-5375.973680026755
UNCOVER-458,458.0,3.637092594381401,-30.465595720715235,15.444352895168452,9037.95124001758,574.4941552738186,-5327.18233281893,filament candidate,UNCOVER,15.444352895168452,,,,,,,,,,,,,,,,,,,,9037.95124001758,574.4941552738186,-5327.18233281893
UNCOVER-459,459.0,3.637162162941941,-30.465540589841403,15.66567982984462,9060.357069773832,575.9294194111598,-5340.377512942897,filament candidate,UNCOVER,15.66567982984462,,,,,,,,,,,,,,,,,,,,9060.357069773832,575.9294194111598,-5340.377512942897
UNCOVER-467,467.0,3.644789736550672,-30.465616360145955,16.481182618017247,9139.104545016138,582.1566519756549,-5386.854973298732,filament candidate,UNCOVER,16.481182618017247,,,,,,,,,,,,,,,,,,,,9139.104545016138,582.1566519756549,-5386.854973298732
UNCOVER-491,491.0,3.64442603967507,-30.46544872394916,16.721960552434588,9161.35097753981,583.5153497193713,-5399.929334354457,filament candidate,UNCOVER,16.721960552434588,,,,,,,,,,,,,,,,,,,,9161.35097753981,583.5153497193713,-5399.929334354457
UNCOVER-492,492.0,3.644273315959808,-30.46546085000747,17.68031934911298,9245.51451329228,588.8512466801445,-5449.539140663605,filament candidate,UNCOVER,17.68031934911298,,,,,,,,,,,,,,,,,,,,9245.514513292279,588.8512466801446,-5449.539140663605
UNCOVER-499,499.0,3.642761085718456,-30.465431079811477,17.826799840330246,9257.826728286069,589.3900812854366,-5456.780611514336,filament candidate,UNCOVER,17.826799840330246,,,,,,,,,,,,,,,,,,,,9257.826728286067,589.3900812854366,-5456.780611514336
